WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean,geometry,start,end,surface_encoded,length
"LINESTRING (121.1139594 14.7017137,121.1139027 14.7012794)",124,way/1307289670,way/1307289670,destination,,,,service,1.0,,,,,,alley,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1139594 14.7017137, 121.1139027 14.7012794)","(121.1139594, 14.7017137)","(121.1139027, 14.7012794)",0,0.000437985593370827
"LINESTRING (121.1129725 14.7034777,121.1130021 14.7034714)",125,way/1307289671,way/1307289671,,,,,residential,1.0,,,San Isidro Labrador Street,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1129725 14.7034777, 121.1130021 14.7034714)","(121.1129725, 14.7034777)","(121.1130021, 14.7034714)",0,3.0263013734540325e-05
"LINESTRING (121.1129475 14.7032434,121.1129185 14.7032509)",126,way/1307289672,way/1307289672,,,,,residential,1.0,,no,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1129475 14.7032434, 121.1129185 14.7032509)","(121.1129475, 14.7032434)","(121.1129185, 14.7032509)",0,2.9954131599556845e-05
"LINESTRING (121.1126955 14.7022736,121.1126575 14.7022836)",127,way/1307289673,way/1307289673,,,,,footway,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1126955 14.7022736, 121.1126575 14.7022836)","(121.1126955, 14.7022736)","(121.1126575, 14.7022836)",0,3.929376541209946e-05
"LINESTRING (121.1128298 14.7028245,121.1131941 14.7027318)",128,way/1307289674,way/1307289674,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1128298 14.7028245, 121.1131941 14.7027318)","(121.1128298, 14.7028245)","(121.1131941, 14.7027318)",0,0.00037590927096940036
"LINESTRING (121.1150099 14.7013288,121.1149338 14.7011553)",129,way/1307299198,way/1307299198,destination,,,,pedestrian,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1150099 14.7013288, 121.1149338 14.7011553)","(121.1150099, 14.7013288)","(121.1149338, 14.7011553)",0,0.00018945569403008332
"LINESTRING (121.1156779 14.7014885,121.1154572 14.7009065)",130,way/1307299199,way/1307299199,destination,,,,service,1.0,,,,,,alley,,,intermediate,unpaved,3.0,3.0,3.0,"LINESTRING (121.1156779 14.7014885, 121.1154572 14.7009065)","(121.1156779, 14.7014885)","(121.1154572, 14.7009065)",1,0.0006224407522001701
"LINESTRING (121.1146399 14.7011981,121.1146901 14.7003695,121.1147008 14.7003449,121.1147263 14.7003319,121.1150569 14.7003111)",131,way/1307299200,way/1307299200,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1146399 14.7011981, 121.1146901 14.7003695, 121.1147008 14.7003449, 121.1147263 14.7003319, 121.1150569 14.7003111)","(121.1146399, 14.7011981)","(121.1150569, 14.7003111)",0,0.0012168217843986748
"LINESTRING (121.1134603 14.7009267,121.1130801 14.7009747)",132,way/1307300478,way/1307300478,private,,,,residential,1.0,,,,,,,,,intermediate,unpaved,3.0,3.0,3.0,"LINESTRING (121.1134603 14.7009267, 121.1130801 14.7009747)","(121.1134603, 14.7009267)","(121.1130801, 14.7009747)",1,0.00038321800583506393
"LINESTRING (121.113412 14.7007308,121.113072 14.7007483)",133,way/1307300479,way/1307300479,private,,,,residential,1.0,,,,,,,,,intermediate,unpaved,3.0,3.0,3.0,"LINESTRING (121.113412 14.7007308, 121.113072 14.7007483)","(121.113412, 14.7007308)","(121.113072, 14.7007483)",1,0.00034045006975485685
