WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean
"LINESTRING (121.1118911 14.7012587,121.1120234 14.7010371)",13,way/24158792,way/24158792,destination,,name,,service,,,no,,,,alley,,,,,,,
"LINESTRING (121.1116857 14.7016394,121.1115968 14.7017829)",14,way/24158865,way/24158865,private,,,,residential,,,,,,,,,,,,,,
"LINESTRING (121.1116601 14.6975258,121.1115961 14.6974621,121.1114507 14.6975988,121.1114274 14.6976207)",15,way/24158891,way/24158891,,,,,footway,,,,,,,,,,,,1,1,1
"LINESTRING (121.1106575 14.6945613,121.110406 14.694889,121.1101483 14.6952283,121.1099068 14.6955461,121.1097615 14.6957706,121.1096407 14.6959257)",16,way/28321106,way/28321106,,,,,residential,,,,General Capinpin Street,,,,Capinpin,,,,3,3,3
"LINESTRING (121.110649 14.6941551,121.1100793 14.6949169,121.109779 14.6953246,121.1096133 14.6955478,121.1095996 14.6955799,121.1095862 14.6956045,121.1095025 14.6957042)",17,way/28321109,way/28321109,,,,,residential,,,,General Yengko Street,Flaviano Yengko,Q5458068,,Yengko,,,,3,3,3
"LINESTRING (121.110999 14.6963762,121.1110033 14.6963229,121.1109987 14.6961438,121.1109747 14.696039,121.1108779 14.6957689,121.1107117 14.6951022,121.110705 14.6950717,121.1107023 14.6950425,121.110695 14.6949448)",18,way/30438267,way/30438267,,,,,residential,,,,General Antonio Luna Street,,,,,,,,3,3,3
"LINESTRING (121.1113412 14.6969337,121.1112616 14.6968112,121.1110892 14.6965206,121.110999 14.6963762,121.1103304 14.6953972)",19,way/30438268,way/30438268,,,,,residential,,,,General Lucban Street,,,,,,,,3,3,3
"LINESTRING (121.1109816 14.6972079,121.1108833 14.697053,121.1105286 14.6964933,121.1104247 14.6963293,121.110249 14.6960725,121.1101586 14.6959412,121.1100474 14.6957797)",20,way/30438269,way/30438269,,,,,residential,,,,General Malvar Street,,,,,,,,3,3,3
"LINESTRING (121.1123444 14.7015786,121.1124055 14.7015792,121.1124364 14.7015869,121.1124625 14.7016048,121.1124821 14.7016325,121.1126039 14.702089,121.1126575 14.7022836,121.1127028 14.7024517,121.112757 14.7026523,121.1128052 14.7028308,121.1128401 14.7029603,121.1128883 14.7031389,121.1129185 14.7032509,121.1129725 14.7034777,121.112992 14.7036351,121.1129963 14.7036988,121.1129996 14.7038862,121.1129956 14.7039368,121.1129855 14.7039822,121.1129721 14.7040218,121.1128175 14.7043744)",21,way/34910176,way/34910176,,,,,residential,,,,San Jose Street,,,,,,,,1,2,1.5
"LINESTRING (121.1135851 14.7019063,121.1135251 14.7018726,121.1135488 14.7018477,121.1135662 14.7018049,121.1135705 14.7017612)",22,way/124171728,way/124171728,,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1131618 14.7023233,121.1127475 14.7024404)",23,way/124171729,way/124171729,destination,,,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1098183 14.6995526,121.1098383 14.6995543,121.1104506 14.6994132,121.1106983 14.6993561,121.1108996 14.6993011,121.1109786 14.6992727,121.1110517 14.6992403)",24,way/124171732,way/124171732,private,,,,residential,,,,,,,,,,,,1,2,1.5
"LINESTRING (121.1131534 14.7019576,121.1131425 14.7018042,121.1131163 14.7015013,121.1131005 14.7013606)",25,way/124171734,way/124171734,,,,yes,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1104506 14.6994132,121.1104237 14.6993237,121.1103982 14.699251,121.1103771 14.6992131,121.1103615 14.699197)",26,way/124171735,way/124171735,private,,,,residential,,,,,,,,,,,,1,2,1.5
"LINESTRING (121.1137118 14.701744,121.1137583 14.7017383,121.1139594 14.7017137,121.1141715 14.7016839,121.114342 14.7016571,121.114361 14.7016428,121.1143706 14.7016194)",27,way/124171737,way/124171737,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1137673 14.7030341,121.1136634 14.7030599)",28,way/124171738,way/124171738,destination,,,,service,,,,,,,alley,,,,,3,3,3
"LINESTRING (121.1126039 14.702089,121.1131534 14.7019576,121.1135251 14.7018726)",29,way/124171740,way/124171740,,,,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1118979 14.6985537,121.1119127 14.6985612,121.112049 14.6987733,121.1122924 14.6991708,121.1124008 14.6993635,121.1124008 14.6993823,121.1123954 14.6993998)",30,way/124171743,way/124171743,private,,,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1108011 14.6988349,121.1106832 14.6989292,121.110528 14.699051,121.1103615 14.699197)",31,way/124171749,way/124171749,private,,,,residential,,,,Housing Street,,,,,,,,1,1,1
"LINESTRING (121.1114473 14.6998081,121.1113887 14.6997001,121.1112048 14.6993769,121.111108 14.6992116,121.1109575 14.6989469,121.1108563 14.6987904,121.1108131 14.6987421,121.1107603 14.6986974,121.1106924 14.698649,121.1104945 14.698533,121.1103644 14.6984626,121.11031 14.6984308,121.1102577 14.6984088)",32,way/124171754,way/124171754,,,,,residential,,,,A. Bonifacio Extension,,,,,,,,1,3,2
"LINESTRING (121.1138111 14.70224,121.1137189 14.7022979,121.113578 14.7023849,121.113465 14.702447,121.1134053 14.7024736,121.1133377 14.7024979)",33,way/124171755,way/124171755,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1141448 14.7018326,121.1140981 14.7021078,121.1141945 14.7022535,121.1141932 14.7023234,121.1141852 14.7023815,121.1141602 14.7024325,121.113852 14.7028209)",34,way/124171758,way/124171758,destination,,,,residential,,,,,,,,,,,,3,3,3
